Date,Open,High,Low,Close,Adj Close,Volume
1995-10-31,9.560000,9.560000,9.560000,9.560000,2.356430,0
1995-11-01,9.580000,9.580000,9.580000,9.580000,2.361356,0
1995-11-02,9.610000,9.610000,9.610000,9.610000,2.368753,0
1995-11-03,9.610000,9.610000,9.610000,9.610000,2.368753,0
1995-11-06,9.600000,9.600000,9.600000,9.600000,2.366288,0
1995-11-07,9.590000,9.590000,9.590000,9.590000,2.363822,0
1995-11-08,9.630000,9.630000,9.630000,9.630000,2.373682,0
1995-11-09,9.610000,9.610000,9.610000,9.610000,2.368753,0
1995-11-10,9.600000,9.600000,9.600000,9.600000,2.366288,0
1995-11-13,9.620000,9.620000,9.620000,9.620000,2.371216,0
1995-11-14,9.630000,9.630000,9.630000,9.630000,2.373682,0
1995-11-15,9.610000,9.610000,9.610000,9.610000,2.368753,0
1995-11-16,9.640000,9.640000,9.640000,9.640000,2.376146,0
1995-11-17,9.650000,9.650000,9.650000,9.650000,2.378612,0
1995-11-20,9.640000,9.640000,9.640000,9.640000,2.376146,0
1995-11-21,9.630000,9.630000,9.630000,9.630000,2.373682,0
1995-11-22,9.640000,9.640000,9.640000,9.640000,2.376146,0
1995-11-24,9.650000,9.650000,9.650000,9.650000,2.378612,0
1995-11-27,9.670000,9.670000,9.670000,9.670000,2.383542,0
1995-11-28,9.670000,9.670000,9.670000,9.670000,2.383542,0
1995-11-29,9.680000,9.680000,9.680000,9.680000,2.386006,0
1995-11-30,9.680000,9.680000,9.680000,9.680000,2.398395,0
1995-12-01,9.700000,9.700000,9.700000,9.700000,2.403348,0
1995-12-04,9.740000,9.740000,9.740000,9.740000,2.413260,0
1995-12-05,9.730000,9.730000,9.730000,9.730000,2.410783,0
1995-12-06,9.720000,9.720000,9.720000,9.720000,2.408303,0
1995-12-07,9.700000,9.700000,9.700000,9.700000,2.403348,0
1995-12-08,9.700000,9.700000,9.700000,9.700000,2.403348,0
1995-12-11,9.720000,9.720000,9.720000,9.720000,2.408303,0
1995-12-12,9.720000,9.720000,9.720000,9.720000,2.408303,0
1995-12-13,9.710000,9.710000,9.710000,9.710000,2.405826,0
1995-12-14,9.710000,9.710000,9.710000,9.710000,2.405826,0
1995-12-15,9.710000,9.710000,9.710000,9.710000,2.405826,0
1995-12-18,9.680000,9.680000,9.680000,9.680000,2.398395,0
1995-12-19,9.730000,9.730000,9.730000,9.730000,2.410783,0
1995-12-20,9.730000,9.730000,9.730000,9.730000,2.410783,0
1995-12-21,9.670000,9.670000,9.670000,9.670000,2.412029,0
1995-12-22,9.690000,9.690000,9.690000,9.690000,2.417018,0
1995-12-26,9.710000,9.710000,9.710000,9.710000,2.422007,0
1995-12-27,9.730000,9.730000,9.730000,9.730000,2.426995,0
1995-12-28,9.750000,9.750000,9.750000,9.750000,2.431984,0
1995-12-29,9.790000,9.790000,9.790000,9.790000,2.441964,0
1996-01-02,9.780000,9.780000,9.780000,9.780000,2.439467,0
1996-01-03,9.800000,9.800000,9.800000,9.800000,2.444457,0
1996-01-04,9.770000,9.770000,9.770000,9.770000,2.436974,0
1996-01-05,9.750000,9.750000,9.750000,9.750000,2.431984,0
1996-01-08,9.750000,9.750000,9.750000,9.750000,2.431984,0
1996-01-09,9.750000,9.750000,9.750000,9.750000,2.431984,0
1996-01-10,9.700000,9.700000,9.700000,9.700000,2.419512,0
1996-01-11,9.560000,9.560000,9.560000,9.560000,2.384593,0
1996-01-12,9.740000,9.740000,9.740000,9.740000,2.429491,0
1996-01-15,9.740000,9.740000,9.740000,9.740000,2.429491,0
1996-01-16,9.780000,9.780000,9.780000,9.780000,2.439467,0
1996-01-17,9.820000,9.820000,9.820000,9.820000,2.449444,0
1996-01-18,9.850000,9.850000,9.850000,9.850000,2.456928,0
1996-01-19,9.860000,9.860000,9.860000,9.860000,2.459421,0
1996-01-22,9.820000,9.820000,9.820000,9.820000,2.449444,0
1996-01-23,9.800000,9.800000,9.800000,9.800000,2.444457,0
1996-01-24,9.820000,9.820000,9.820000,9.820000,2.449444,0
1996-01-25,9.780000,9.780000,9.780000,9.780000,2.439467,0
1996-01-26,9.800000,9.800000,9.800000,9.800000,2.444457,0
1996-01-29,9.780000,9.780000,9.780000,9.780000,2.439467,0
1996-01-30,9.810000,9.810000,9.810000,9.810000,2.446951,0
1996-01-31,9.800000,9.800000,9.800000,9.800000,2.458238,0
1996-02-01,9.790000,9.790000,9.790000,9.790000,2.455731,0
1996-02-02,9.780000,9.780000,9.780000,9.780000,2.453221,0
1996-02-05,9.760000,9.760000,9.760000,9.760000,2.448205,0
1996-02-06,9.780000,9.780000,9.780000,9.780000,2.453221,0
1996-02-07,9.780000,9.780000,9.780000,9.780000,2.453221,0
1996-02-08,9.790000,9.790000,9.790000,9.790000,2.455731,0
1996-02-09,9.790000,9.790000,9.790000,9.790000,2.455731,0
1996-02-12,9.820000,9.820000,9.820000,9.820000,2.463254,0
1996-02-13,9.830000,9.830000,9.830000,9.830000,2.465765,0
1996-02-14,9.810000,9.810000,9.810000,9.810000,2.460748,0
1996-02-15,9.770000,9.770000,9.770000,9.770000,2.450714,0
1996-02-16,9.740000,9.740000,9.740000,9.740000,2.443188,0
1996-02-20,9.660000,9.660000,9.660000,9.660000,2.423121,0
1996-02-21,9.650000,9.650000,9.650000,9.650000,2.420613,0
1996-02-22,9.680000,9.680000,9.680000,9.680000,2.428137,0
1996-02-23,9.660000,9.660000,9.660000,9.660000,2.423121,0
1996-02-26,9.650000,9.650000,9.650000,9.650000,2.420613,0
1996-02-27,9.600000,9.600000,9.600000,9.600000,2.408071,0
1996-02-28,9.600000,9.600000,9.600000,9.600000,2.408071,0
1996-02-29,9.540000,9.540000,9.540000,9.540000,2.406810,0
1996-03-01,9.630000,9.630000,9.630000,9.630000,2.429514,0
1996-03-04,9.700000,9.700000,9.700000,9.700000,2.447174,0
1996-03-05,9.670000,9.670000,9.670000,9.670000,2.439605,0
1996-03-06,9.630000,9.630000,9.630000,9.630000,2.429514,0
1996-03-07,9.610000,9.610000,9.610000,9.610000,2.424469,0
1996-03-08,9.440000,9.440000,9.440000,9.440000,2.381579,0
1996-03-11,9.470000,9.470000,9.470000,9.470000,2.389149,0
1996-03-12,9.450000,9.450000,9.450000,9.450000,2.384102,0
1996-03-13,9.470000,9.470000,9.470000,9.470000,2.389149,0
1996-03-14,9.470000,9.470000,9.470000,9.470000,2.389149,0
1996-03-15,9.410000,9.410000,9.410000,9.410000,2.374012,0
1996-03-18,9.420000,9.420000,9.420000,9.420000,2.376534,0
1996-03-19,9.440000,9.440000,9.440000,9.440000,2.381579,0
1996-03-20,9.470000,9.470000,9.470000,9.470000,2.389149,0
1996-03-21,9.510000,9.510000,9.510000,9.510000,2.399240,0
1996-03-22,9.490000,9.490000,9.490000,9.490000,2.394193,0
1996-03-25,9.540000,9.540000,9.540000,9.540000,2.406810,0
1996-03-26,9.540000,9.540000,9.540000,9.540000,2.406810,0
1996-03-27,9.490000,9.490000,9.490000,9.490000,2.394193,0
1996-03-28,9.440000,9.440000,9.440000,9.440000,2.381579,0
1996-03-29,9.420000,9.420000,9.420000,9.420000,2.391735,0
